Acre | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Acrel&acirc;ndia,1200013,acrelandense,OLAVO FRANCELINO DE REZENDE,1811.613,14021,7.74,95.1,0.604,12.66,25276.5301,27229.75864,19525.15,
Assis Brasil,1200054,assis-brasiliense,JERRY CORREIA MARINHO,4979.073,8100,1.63,85.1,0.588,13.95,18177.08341,17004.90982,12864.39,
Brasil&eacute;ia,1200104,brasileense,FERNANDA DE SOUZA HASSEM CESAR,3928.174,26000,6.62,90.2,0.614,7.59,53414.58452,45045.5778,17981.49,
Bujari,1200138,bujariense,JO&Atilde;O EDVALDO TELES DE LIMA,3034.869,12917,4.26,91.1,0.589,12.45,21293.7741,16796.61014,17640.84,
Capixaba,1200179,capixabense,MANOEL MAIA BEZERRA,1705.824,10392,6.09,92.6,0.575,5.26,22177.70636,18125.24714,12101.74,
Cruzeiro do Sul,1200203,cruzeirense,JOS&Eacute; DE SOUZA LIMA,8783.470,91888,10.46,94.9,0.664,10.64,139636.40815,135990.84682,17024.21,
Epitaciol&acirc;ndia,1200252,epitaciolandense,SERGIO LOPES DE SOUZA,1652.674,18757,11.35,93.7,0.653,17.06,31996.17426,29191.83244,23156.18,
Feij&oacute;,1200302,feijoense,KIEFER ROBERTO CAVALCANTE LIMA,27976.874,35426,1.27,82.9,0.539,31.69,52016.77509,44915.33544,11263.93,
Jord&atilde;o,1200328,jord&atilde;oense,FRANCISCO NAUDINO RIBEIRO SOUZA,5357.227,9222,1.72,71.3,0.469,19.51,26243.1281,22373.457,10020.96,
M&acirc;ncio Lima,1200336,mancio-limense,ISAAC DE SOUZA LIMA,5451.617,19300,3.54,94.9,0.625,19.05,40273.43998,34347.43845,11955.02,
Manoel Urbano,1200344,manoel-urbanense,JOSE ALTANIZIO TAUMATURGO S&Aacute;,10630.600,11996,1.13,78,0.551,7.14,20832.27054,17500.70488,14342.93,
Marechal Thaumaturgo,1200351,thaumaturguense,ISAAC DA SILVA PIYAKO,8190.953,17093,2.09,90.8,0.501,8.98,46853.60138,44092.30632,11116.99,
Pl&aacute;cido de Castro,1200385,placidiano,CAMILO DA SILVA,1952.555,16560,8.48,93.6,0.622,24.56,37476.08482,32912.56101,13377.82,
Porto Walter,1200393,portowaltense,SEBASTIAO NOGUEIRA DE ANDRADE,6446.385,10735,1.67,93.3,0.532,13.94,30739.64477,29105.94591,10640.19,
Rio Branco,1200401,rio-branquense,SEBASTI&Atilde;O BOCALOM RODRIGUES,8835.154,364756,41.28,95.1,0.727,14.97,884827.27412,740733.10818,23171.69,
Rodrigues Alves,1200427,rodriguesalvense,JAILSON PONTES DE AMORIM,3076.342,14938,4.86,94.6,0.567,14.41,40231.33543,35058.62081,10474.43,
Santa Rosa do Purus,1200435,santarosense,JOS&Eacute; ALTAMIR TAUMATURGO DE S&Aacute;,6155.858,6723,1.09,63.8,0.517,46.98,21113.55007,18486.83729,12525.97,
Senador Guiomard,1200450,guiomaense,ROSANA PEREIRA DA SILVA,2320.169,21453,9.25,95.6,0.640,14.96,43306.45515,39298.31691,15389.06,
Sena Madureira,1200500,sena-madureirense,OSMAR SERAFIM DE ANDRADE,23759.512,41349,1.74,85.4,0.603,19.46,75150.72664,64406.75596,12490.26,
Tarauac&aacute;,1200609,tarauacaense,MARIA LUCIN&Eacute;IA NERY DE LIMA MENEZES,20169.485,43464,2.15,85.6,0.539,19.81,71657.95386,63519.40993,12046.86,
Xapuri,1200708,xapuriense,FRANCISCO UBIRACY MACHADO DE VASCONCELOS,5350.586,18243,3.41,87.7,0.599,18.99,35332.63602,28563.761,14903.31,
Porto Acre,1200807,portoacrense,BENEDITO CAVALCANTE DAMASCENO,2604.417,16693,6.41,90.4,0.576,19.39,30554.59742,25481.7713,12948.19,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>População residente: Censo 2022: População e Domicílios - Primeiros Resultados</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2017</td></tr><tr><td>Receitas realizadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>Despesas empenhadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>